title,lyrics,album
Swallow,"Fuck yes Always I'm locked in my head No pain, you don't know what I have had By now I'm so for sure Right now, I am yours My sorrow I swallow Follow me, oh hell no It came unknown to me Paranoid, it's controlling all of me Somehow terror so pure Right now, shit I'm yours My sorrow, I swallow Follow me, oh, hell no Was it me, I swallow Forget me, I don't know Oh, hell no Oh, hell no Oh, hell no  Fuck yes Always I'm locked in my head No pain, you don't know what I have had By now I'm so for sure Right now, I am yours My sorrow I swallow Follow me, oh hell no It came unknown to me Paranoid, it's controlling all of me Somehow terror so pure Right now, shit I'm yours My sorrow, I swallow Follow me, oh, hell no Was it me, I swallow Forget me, I don't know Oh, hell no Oh, hell no Oh, hell no This thing I follow The place I'm too scared to fucking go A freak, that, I'm sure A freak that is yours My sorrow, I swallow Follow me, oh, hell no Was it me, I swallow Forget me, I don't know I swallow I swallow Freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak Punk ass sissy, I'm a freak",Life is Peachy
Wake Up,"Wake the fuck up, wake the fuck up! Wake the fuck up, wake the fuck up! Wake the fuck up, wake the fuck up! Wake the fuck up, wake the fuck up! Each day more frightening All of us wanna die The pressure's tightening I don't even want to try Should I take all the stupid bullshit What makes them think they can get away with it? I'm not happy I wish they'd just... Wake the fuck up, wake the fuck up! Wake the fuck up, wake the fuck up! I can take no more What are we fighting for? You are my brothers Each one I would die for Please just let it go All our heads are blown Let's take the stage And remember what we play for  Wake the fuck up, wake the fuck up! Wake the fuck up, wake the fuck up! Wake the fuck up, wake the fuck up! Wake the fuck up, wake the fuck up! Each day more frightening All of us wanna die The pressure's tightening I don't even want to try Should I take all the stupid bullshit What makes them think they can get away with it? I'm not happy I wish they'd just... Wake the fuck up, wake the fuck up! Wake the fuck up, wake the fuck up! I can take no more What are we fighting for? You are my brothers Each one I would die for Please just let it go All our heads are blown Let's take the stage And remember what we play for No more fighting I swear I'm gonna leave Talking shit to spite me I wish we'd just... Wake the fuck up, wake the fuck up! Wake the fuck up, wake the fuck up! I can take no more What are we fighting for? You are my brothers Each one I would die for Please just let it go All our heads are blown Let's take the stage And remember what we play for I can't take no more What are we fighting for? You are my brothers Each one I would die for Please just let it go All our heads are blown Let's take the stage And remember what we play for I can't take no more What are we fighting for? You are my brothers Each one I would die for Please just let it go All our heads are blown Let's take the stage And remember what we play for Remember what we play for Remember what we play for Remember what we play for",Issues
Hollow Life,"Beating the fall, I can't help but desire of Falling down this time Deep in this hole of my making, I can't escape Falling all this time We come to this place, falling through time Living a hollow life Always we're taking, waiting for signs Hollow lives Fearing to fall and still the ground below me calls Falling down this time Ripping apart all these things I have tried to stop Falling all this time We come to this place, falling through time Living a hollow life Always we're taking, waiting for signs Hollow lives Is there ever any wonder, why we look to the sky? Search in vain, asking why All alone, where is God? Looking down? We don’t know  Beating the fall, I can't help but desire of Falling down this time Deep in this hole of my making, I can't escape Falling all this time We come to this place, falling through time Living a hollow life Always we're taking, waiting for signs Hollow lives Fearing to fall and still the ground below me calls Falling down this time Ripping apart all these things I have tried to stop Falling all this time We come to this place, falling through time Living a hollow life Always we're taking, waiting for signs Hollow lives Is there ever any wonder, why we look to the sky? Search in vain, asking why All alone, where is God? Looking down? We don’t know We fall in space, we can't look down Death may come, peace I have found What to say? Am I alive? Am I asleep? Or have I died? We fall in space , we can't look down Death may come, peace I have found I want to say my whole life Am I asleep? We fall down We come to this place, falling through time Living a hollow life Always we're taking, waiting for signs Hollow lives Is there ever any wonder why we look to the sky? Search in vain, asking why All alone, where is God? Looking down, we don't know Is there ever any wonder why we look to the sky? Search in vain, asking why All alone, where is God? Looking down, we don't know We fall in space, we can't look down Death may come, peace I have found",Untouchables
The Ringmaster,"Hey, you Yes, I'm talking to you And what are you doing here? And why you look so sad, man? Brother, please come here Let’s talk and let it out Dear, you have nothing to fear Child, I'm the one that makes it, oh, so, so much better I feel your presence standing there up in my face I feel the darkness haunting me with its embrace I want to shed this, go to a place, a different time The plot unfolds, this meaning here I'll never find Hey, man What do we have here? You’re looking so upset You're making it quite clear That you want nothing to change 'Cause you're so willing to hurt, and Feel at home in the dark, boy Everything you feel, child, won't make it better  Hey, you Yes, I'm talking to you And what are you doing here? And why you look so sad, man? Brother, please come here Let’s talk and let it out Dear, you have nothing to fear Child, I'm the one that makes it, oh, so, so much better I feel your presence standing there up in my face I feel the darkness haunting me with its embrace I want to shed this, go to a place, a different time The plot unfolds, this meaning here I'll never find Hey, man What do we have here? You’re looking so upset You're making it quite clear That you want nothing to change 'Cause you're so willing to hurt, and Feel at home in the dark, boy Everything you feel, child, won't make it better I feel your presence standing there up in my face I feel the darkness haunting me with its embrace I want to shed this, go to a place, a different time The plot unfolds, this meaning here I'll never find You ever hear that voice in your motherfucking head? Ooh, it goes Looking at you, poking at you Yelling at you, fucking with you Looking at you, poking at you Yelling at you, fucking with you Looking at you, poking at you Yelling at you, fucking with you Looking at you, poking at you Yelling at you, fucking with you It's fucking with you It's fucking with you I feel your presence standing there up in my face I feel the darkness haunting me with its embrace I want to shed this, go to a place, a different time The plot unfolds, this meaning here I’ll never find",The Nothing
Seed,"Every day it gets a little harder Can't seem to get away I remember there's a certain place A place I wish I'd stay I feel so lost within, pressured I'm headed for that day Just one thought in my head really Do I need this fame? Every time goddamn I look at my seed I see something I can't be Beautiful and carefree That's how I used to be Like some goddamn fucking freak I'm so pressured, I'm so weak Something takes a hold of me Something I can't believe I lay in bed at night and wonder Should I go on this way? It's the only thing I really got for now And it's called fame  Every day it gets a little harder Can't seem to get away I remember there's a certain place A place I wish I'd stay I feel so lost within, pressured I'm headed for that day Just one thought in my head really Do I need this fame? Every time goddamn I look at my seed I see something I can't be Beautiful and carefree That's how I used to be Like some goddamn fucking freak I'm so pressured, I'm so weak Something takes a hold of me Something I can't believe I lay in bed at night and wonder Should I go on this way? It's the only thing I really got for now And it's called fame Every time goddamn I look at my seed I see something I can't be Beautiful and carefree That's how I used to be Like some goddamn fucking freak I'm so pressured, I'm so weak Something takes a hold of me Something I can't believe So I see this face so innocent and fine So I see this face and I realize it's mine So I see this face so innocent and fine So I see this face and I realize it's mine Every time goddamn I look at my seed I see something I can't be Beautiful and carefree That's how I used to be Like some goddamn fucking freak I'm so pressured, I'm so weak Something takes a hold of me Something I can't believe Like some goddamn fucking freak Like some goddamn fucking freak Like some goddamn fucking freak Like some goddamn fucking freak",Follow The Leader
The Hating,The hating It's pulled inside of me The trying To test my sanity It's in your waiting It's all make believe And the ripping The child within me Cheating the time that I had left needing My soul 'cause that's the bed giving All that that I can give Controlling my mind that is diseased Holding my hate that is really scolding The hand that keeps me fed That keeps me fed Fed! That keeps me fed! Fed! That keeps me... I feel it all come crashing down on me! I feel alone and torn apart! A wasted time to let it get to me! An angry mouth with a broken heart!  The hating It's pulled inside of me The trying To test my sanity It's in your waiting It's all make believe And the ripping The child within me Cheating the time that I had left needing My soul 'cause that's the bed giving All that that I can give Controlling my mind that is diseased Holding my hate that is really scolding The hand that keeps me fed That keeps me fed Fed! That keeps me fed! Fed! That keeps me... I feel it all come crashing down on me! I feel alone and torn apart! A wasted time to let it get to me! An angry mouth with a broken heart! Searching for something that is safe Hurting my pride that is the test Turning my anger towards your flesh Rotting we hold the end of bag Spurting the blood that's on the bed Scolding the hand that keeps me fed That keeps me fed Fed! That keeps me fed! I feel it all come crashing down on me! I feel alone and torn apart! A wasted time to let it get to me! An angry mouth with a broken heart! The hating It's pulled inside of me The trying To test my sanity It's in you waiting It's all make believe And the ripping The child from within me The hating It's pulled inside of me The trying To test my sanity It's in you waiting It's all make believe And the ripping The child from within me,The Serenity of Suffering
No Place to Hide,"Ha, ha, ha I see your faces and I do not understand why Each time I dream, you're standing there right by my side Why do you make me? You take my pride and in my eyes You come and rape me inside I have no place to run and hide I have no place to hide, which I like Some who look at the time, I looked back into my life You wanna touch me to see what's in my eyes Why do you make me? Remember my hate, all this shame Don't you hate me sometimes? I have no place to run and hide I have no place to hide, which I like I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run  Ha, ha, ha I see your faces and I do not understand why Each time I dream, you're standing there right by my side Why do you make me? You take my pride and in my eyes You come and rape me inside I have no place to run and hide I have no place to hide, which I like Some who look at the time, I looked back into my life You wanna touch me to see what's in my eyes Why do you make me? Remember my hate, all this shame Don't you hate me sometimes? I have no place to run and hide I have no place to hide, which I like I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run, so come and follow me I have no place to run Which I like, I like Which I like, I like Which I like, I like Which I like, I like Which I like, I like Which I like, I like Which I like, I like Which I like, I like I have no place to run and hide I have no place to hide, which I like I have no place to run and hide I have no place to hide, which I like",Life is Peachy
Lost,"Why can't I decide Why my feelings, I hide? Always screwing with my mind A thorn in my spine Oh sure, it feels fine Wasting all our time In the back of my mind A thorn in my spine Wait! See it before my eyes Why? Do I turn away? Looking all the time At your face so blind Feeling uptight Always the same fight Hey man now decide Go ahead take your time Kissing all the time That thorn in my spine Wait! You can't even see inside Why? Play yourself out that way Why? You and me always hang Wait! Weren't you my friend?  Why can't I decide Why my feelings, I hide? Always screwing with my mind A thorn in my spine Oh sure, it feels fine Wasting all our time In the back of my mind A thorn in my spine Wait! See it before my eyes Why? Do I turn away? Looking all the time At your face so blind Feeling uptight Always the same fight Hey man now decide Go ahead take your time Kissing all the time That thorn in my spine Wait! You can't even see inside Why? Play yourself out that way Why? You and me always hang Wait! Weren't you my friend? Pain and rage and fear I feel! Pain and rage and fear I feel! Pain and rage and fear I feel! Pain and rage and fear I feel! Pain and rage and fear I feel! Pain and rage and fear I feel! Pain and rage and fear I feel! Pain and rage and fear I feel! Hey man, look inside Now you need your own life Remember me guy? That thorn in your spine Waiting all the time I'm doing mighty fine Remember me guy? The thorn in your spine Wait! You can't even see inside Why? Play yourself out that way Why? You and me always hang Wait! Weren't you my friend? Wait! You were my friend Wait! You were my friend Wait! You were my friend Wait! You were my friend",Life is Peachy
Ass Itch,"I hate writing shit, it is so stupid What's my problem today? Maybe I'm depressed, maybe I'm helpless To what comes out my pen Pain! Pain! Pain! Pain! I hate writing shit, it is so stupid Why do I feel this way? Feelings in my heart, I'm in way too far Can't it, won't go away? Pain! Pain! Pain! Pain! Before long, my song is dying Before long, my song is dying  I hate writing shit, it is so stupid What's my problem today? Maybe I'm depressed, maybe I'm helpless To what comes out my pen Pain! Pain! Pain! Pain! I hate writing shit, it is so stupid Why do I feel this way? Feelings in my heart, I'm in way too far Can't it, won't go away? Pain! Pain! Pain! Pain! Before long, my song is dying Before long, my song is dying I hate writing shit, ain't looking forward to it What's fucked up today? Writing all this time, feeling all that's mine Come right out my hand Pain! Pain! Pain! Pain! Before long, my song is dying Before long, my song is dying Tell me now, I want to know Is it me inside you see? Life isn't fair, I got a little son Now set me free Set me free! Just set me free! Just set me free! Just set me free! It just set me free! It just set me free! It just set me free! It just set me free! It just set me free! It just set me free! It just set me free! It just set me free! Before long, my song is dying Before long, my song is dying That's why I died That's why I try!",Life is Peachy
Love Song,"Mother! You're holding my heart, screaming Motherfucker! They left me broken, bleeding Son of... The man you loved and left for The son of a bitch! Who tried to show me death's door Everything's eliminated Everything is dedicated Tried to leave this life I hated Living it was overrated Love song for the dear departed Head stone for the broken hearted Arms to kill or flowers to steal? Head trip for the mortal earthbound One sip of the blood that I found Lying here, I'm dying here Ash and Obituaries rain down And suddenly We're lying naked face down What's it like decapitated? Can't you see me fascinated? You're the only thing I've damaged Only death can be mismanaged  Mother! You're holding my heart, screaming Motherfucker! They left me broken, bleeding Son of... The man you loved and left for The son of a bitch! Who tried to show me death's door Everything's eliminated Everything is dedicated Tried to leave this life I hated Living it was overrated Love song for the dear departed Head stone for the broken hearted Arms to kill or flowers to steal? Head trip for the mortal earthbound One sip of the blood that I found Lying here, I'm dying here Ash and Obituaries rain down And suddenly We're lying naked face down What's it like decapitated? Can't you see me fascinated? You're the only thing I've damaged Only death can be mismanaged Love song for the dear departed Head stone for the broken hearted Arms to kill or flowers to steal? Head trip for the mortal earthbound One sip of the blood that I found Lying here, I'm dying here Don't bring me Daffodils Bring a bouquet of pills Seeds of Geranium Cracked to the cranium Protect me when you can Respect me when I am dying Love song for the dear departed Head stone for the broken hearted Arms to kill or flowers to steal? Head trip for the mortal earthbound One sip of the blood that I found Lying here, I'm dying here Love song for the dear departed Head stone for the broken hearted Arms to kill or flowers to steal? Head trip for the mortal earthbound One sip of the blood that I found Lying here, I'm dying here",See You On The Other Side
Reclaim My Place,"What the fuck? I'm so numb, therefore I can't relate I'm so dumb, there is nothing to hate Really, is it me or is it fate? Give me peace or release for fuck's sake Give them something to say Something super fly, never played All I hear is disgrace Erase them all and reclaim my place In the past, I was known as a freak Had no friends, picked on 'cause I was weak Save my ass, I got into this band Never thought the band would pick on the man Give them something to say Something super fly, never played All I hear is disgrace Erase them all and reclaim my place  What the fuck? I'm so numb, therefore I can't relate I'm so dumb, there is nothing to hate Really, is it me or is it fate? Give me peace or release for fuck's sake Give them something to say Something super fly, never played All I hear is disgrace Erase them all and reclaim my place In the past, I was known as a freak Had no friends, picked on 'cause I was weak Save my ass, I got into this band Never thought the band would pick on the man Give them something to say Something super fly, never played All I hear is disgrace Erase them all and reclaim my place Reclaim my place Reclaim my place Reclaim my place Say it to my face So I look around at all these stupid little faces Something I can never slap, but I embrace You'll never ever see, you'll never ever be You want to fuck around, then come on, fuck with me You think you can relate? You'll never ever find You think you feel my hate? Look at me and you will find My fate you always raped, I will always be the sound You want to fuck with me? Come on, fucking play Now you can feel it, my heart beats down Yes, you feel it come right now You can feel it, my heart beats down Yes, you feel it come right now You can feel it, my heart beats down Yes, you feel it come bow down Bow down Bow down Bow down Give them something to say Something super fly, never played All I hear is disgrace Erase them all and reclaim my place What the fuck? What the fuck? What the fuck? What the fuck? What the fuck? What the fuck? What the fuck? What the fuck? What the fuck? What the fuck? What the fuck? What the fuck?",Follow The Leader
Gravity of Discomfort,"I've walked this world alone imprisoned by design This broken bearer of shame is right here by my side Higher than the highest goes Darker than the blackest hole Feel myself release my soul Sweet relief, my body goes Hate dominates Everything I got on my plate Feel the weight of my pain Crushing my heart, it's sure to break I know it really wants to hurt me for sure I know it set me up, it's death premature I've tossed my fears aside, engaged in my denial I'm lost inside this space I find to be so vile Higher than the highest goes Darker than the blackest hole Feel myself release my soul Sweet relief, my body goes  I've walked this world alone imprisoned by design This broken bearer of shame is right here by my side Higher than the highest goes Darker than the blackest hole Feel myself release my soul Sweet relief, my body goes Hate dominates Everything I got on my plate Feel the weight of my pain Crushing my heart, it's sure to break I know it really wants to hurt me for sure I know it set me up, it's death premature I've tossed my fears aside, engaged in my denial I'm lost inside this space I find to be so vile Higher than the highest goes Darker than the blackest hole Feel myself release my soul Sweet relief, my body goes Hate dominates Everything I got on my plate Feel the weight of my pain Crushing my heart, it's sure to break I know it really wants to hurt me for sure I know it set me up, it's death premature It won't go away This time it's here to stay Somehow I'll never be the same Another day, another way Another reason for it to chip away At everything I ever loved Hate dominates Everything I got on my plate Feel the weight of my pain Crushing my heart, it's sure to break I know it really wants to hurt me for sure I know it set me up, it's death premature Hate dominates Everything I got on my plate Feel the weight of my pain Crushing my heart, it's sure to break I know it really wants to hurt me for sure Hurt me for sure",The Nothing
Worst Is On Its Way,"Look, now, tell me this is nothing Something's playing tricks and it's chipping away I can't, swirling is the trouble Disguised in the paces, they're blocking my way Calling me I feel it coursing through the inside And I can't get away Somewhere inside I feel it breathing and I realize The worst is on its way It is always something Life keeps throwing things that don't go my way I'm damned, harmful thoughts devour me All familiar places I can't escape Calling me I feel it coursing through the inside And I can't get away Somewhere inside I feel it breathing and I realize The worst is on its way  Look, now, tell me this is nothing Something's playing tricks and it's chipping away I can't, swirling is the trouble Disguised in the paces, they're blocking my way Calling me I feel it coursing through the inside And I can't get away Somewhere inside I feel it breathing and I realize The worst is on its way It is always something Life keeps throwing things that don't go my way I'm damned, harmful thoughts devour me All familiar places I can't escape Calling me I feel it coursing through the inside And I can't get away Somewhere inside I feel it breathing and I realize The worst is on its way And it makes me sick But I deal with it Set it all aside My confidence overrides Calling me I feel it coursing through the inside And I can't get away Somewhere inside I feel it breathing and I realize The worst is on its way The worst is on its way The worst is on its way And it makes me sick But I deal with it Set it all aside My confidence overrides",Requiem
Prey for Me,"How come what's wrong with you? Darling faces all strung with frowns Let's do what devils do Hiding in shadow, no one's around Why can't I torture you? Giving pain, you take it away The little things you do Simply, I love your evil ways Prey for me I think I owe you an apology Somehow you bring the violence out in me I'm just a shell of what I used to be Passion is sometimes a fucked up thing for me This virus follows you Nothing's left, you're dead on the ground How can I covet you? Give you hell and you can't rebound My soul infected you Blackened thoughts, they run through your head The little things you do Simply, I wish you were dead  How come what's wrong with you? Darling faces all strung with frowns Let's do what devils do Hiding in shadow, no one's around Why can't I torture you? Giving pain, you take it away The little things you do Simply, I love your evil ways Prey for me I think I owe you an apology Somehow you bring the violence out in me I'm just a shell of what I used to be Passion is sometimes a fucked up thing for me This virus follows you Nothing's left, you're dead on the ground How can I covet you? Give you hell and you can't rebound My soul infected you Blackened thoughts, they run through your head The little things you do Simply, I wish you were dead Prey for me I think I owe you an apology Somehow you bring the violence out in me I'm just a shell of what I used to be Passion is sometimes a fucked up thing for me I think I owe you an apology Somehow you bring the violence out in me I'm just a shell of what I used to be Passion is sometimes a fucked up thing for me Goodbye, so long Wish I could stay, but everything is all wrong Goodbye, so long Wish I could stay, but everything is all wrong Everything is all wrong Everything wrong Wrong Everything wrong Prey for me I think I owe you an apology Somehow you bring the violence out in me I'm just a shell of what I used to be Passion is sometimes a fucked up thing for me I think I owe you an apology Somehow, you bring the violence out in me I'm just a shell of what I used to be Passion is sometimes a fucked up thing for me",The Paradigm shift
No Way,"Lately, things won't go my way Lately, everything is gray It feels like something It feels like nothing So I came too far! To end up this way! Feeling like I'm God! Feeling there's no way! So I'm angry for today Anger's the only thing I've made It feels like something No, it's nothing So I came too far! To end up this way! Feeling like I'm God! Feeling there's no way! To live this way Hating, feeling, falling To the place where people haunt me I can't help but keep from falling To the place where people call me I can't wait to give them these feelings of hating Keeping inside me for all to take Picking at me, they're ripping at me Ripping at me!  Lately, things won't go my way Lately, everything is gray It feels like something It feels like nothing So I came too far! To end up this way! Feeling like I'm God! Feeling there's no way! So I'm angry for today Anger's the only thing I've made It feels like something No, it's nothing So I came too far! To end up this way! Feeling like I'm God! Feeling there's no way! To live this way Hating, feeling, falling To the place where people haunt me I can't help but keep from falling To the place where people call me I can't wait to give them these feelings of hating Keeping inside me for all to take Picking at me, they're ripping at me Ripping at me! So I came too far! To end up this way! Feeling like I'm God! Feeling there's no way! So I came too far! To end up this way! Feeling like I'm God! Feeling there's no way! To live this way Live this way",Issues
Surrender to Failure,"Lost alone here in the dark Looking for answers I will never find, I'll never find God knew all along that He would take you And the demons were set loose to claim their prize, I am their prize Everywhere I turn, I can't escape you Did everything I could to hide For every good thing I've done, there's a price to pay And that price has left me horrified, God, I tried Now I'm the one who never chose this Now I'm the one who walked a narrow line And I would do anything to bring you back to me If only God would let me turn back time I've failed I've failed I've failed Lost alone here in the dark Looking for answers I will never find, I'll never find God knew all along that He would take you And the demons were set loose to claim their prize, I am their prize Everywhere I turn, I can't escape you Did everything I could to hide For every good thing I've done, there's a price to pay And that price has left me horrified, God, I tried Now I'm the one who never chose this Now I'm the one who walked a narrow line And I would do anything to bring you back to me If only God would let me turn back time I've failed I've failed I've failed",The Nothing
Forgotten,"Digesting deceit, I'm broken faulted And that's just better for me This situation intrigues, I am assaulted I don't know how I succeed Where am I now? A plaything at your discretion now Pulling away this veil I see Realize this path's not meant for me Stripped away are all my needs And now all that's left is forgotten I want to be free, you won't allow it It makes me drop to my knees What must I do to appease? My effort's scalded I guess I'll have to concede Where am I now? A plaything at your discretion now Pulling away this veil I see Realize this path's not meant for mе Stripped away are all my needs And now all that's left is forgottеn  Digesting deceit, I'm broken faulted And that's just better for me This situation intrigues, I am assaulted I don't know how I succeed Where am I now? A plaything at your discretion now Pulling away this veil I see Realize this path's not meant for me Stripped away are all my needs And now all that's left is forgotten I want to be free, you won't allow it It makes me drop to my knees What must I do to appease? My effort's scalded I guess I'll have to concede Where am I now? A plaything at your discretion now Pulling away this veil I see Realize this path's not meant for mе Stripped away are all my needs And now all that's left is forgottеn One day I must decide if I'm worth it Gave it life and I realized it took it Don't feel bad for me, don't feel sad for me Don't feel bad for me, don't feel sad for me Where am I now? A plaything at your discretion now Pulling away this veil I see Realize this path's not meant for me Stripped away are all my needs And now all that's left is forgotten",Requiem
The Seduction of Indulgence,"Oh, look at me I'm taking a huge risk crossing this line Oh, look at me Determined that I'm not gonna win this time Oh, what will be I'm unprotected and painfully confined Oh, come fuck with me I think I'm ready all this time Oh, come with me They say the torture is divine Looking at me Oh, they take their time Skinning me, stabbing me Touching me, licking me Raping me, skinning me Stabbing me, touching me Licking me, raping me Skinning me, stabbing me Touching me, licking me Raping me, skinning me Stabbing me, touching me Licking me, raping me Skinning me, stabbing me Touching me, licking me Raping me, skinning me Stabbing me, touching me Licking me, raping me Skinning me, stabbing me Oh, look at me I'm taking a huge risk crossing this line Oh, look at me Determined that I'm not gonna win this time Oh, what will be I'm unprotected and painfully confined Oh, come fuck with me I think I'm ready all this time Oh, come with me They say the torture is divine Looking at me Oh, they take their time Skinning me, stabbing me Touching me, licking me Raping me, skinning me Stabbing me, touching me Licking me, raping me Skinning me, stabbing me Touching me, licking me Raping me, skinning me Stabbing me, touching me Licking me, raping me Skinning me, stabbing me Touching me, licking me Raping me, skinning me Stabbing me, touching me Licking me, raping me Skinning me, stabbing me",The Nothing
Die Yet Another Night,"Sick of all these things I've tried Sick of all these lies Nobody cares, you're just a bad man Nobody wants you, you're a dead man Waking from my darkest dream Bring me from my mind Nobody cares, you're just a bad man Nobody wants you, you're a dead man No problem, I've got time to kill Nobody cares, you're just a bad man Nobody wants you, you're a dead man Save everyone, I've had my fill Nobody cares you're just a bad man Nobody wants you, you're a dead man Do what you say, do what you want to Do what you say, do what you want to Do what you say, do what you want to Do what you say, do what you want to We rip apart the flesh and live to see And look at all the faces along the way The terror grips me close and holds me tight And hope I get to die yet another night  Sick of all these things I've tried Sick of all these lies Nobody cares, you're just a bad man Nobody wants you, you're a dead man Waking from my darkest dream Bring me from my mind Nobody cares, you're just a bad man Nobody wants you, you're a dead man No problem, I've got time to kill Nobody cares, you're just a bad man Nobody wants you, you're a dead man Save everyone, I've had my fill Nobody cares you're just a bad man Nobody wants you, you're a dead man Do what you say, do what you want to Do what you say, do what you want to Do what you say, do what you want to Do what you say, do what you want to We rip apart the flesh and live to see And look at all the faces along the way The terror grips me close and holds me tight And hope I get to die yet another night Throw a wrench into my world Throw me in the fire Nobody cares, you're just a bad man Nobody wants you, you're a dead man Death come over to me one time We shouldn't get much higher Nobody cares, you're just a bad man Nobody wants you, you're a dead man No problem, I've got time to kill Nobody cares, you're just a bad man Nobody wants you, you're a dead man Save everyone, I've had my fill Nobody cares, you're just a bad man Nobody wants you, you're a dead man Do what you say, do what you want to Do what you say, do what you want to Do what you say, do what you want to Do what you say, do what you want to We rip apart the flesh and live to see And look at all the faces along the way The terror grips me close and holds me tight And hope I get to die yet another night Don't get close to me, safe for you All this suffering left to do Don't get close to me, safe for you All this suffering left to do All this suffering left to do All this suffering left to do We rip apart the flesh and live to see And look at all the faces along the way The terror grips me close and holds me tight And hope I get to die yet another night We rip apart the flesh and live to see And look at all the faces along the way The terror grips me close and holds me tight And hope I get to die yet another night",The Serenity of Suffering
When You're Not There,"It's the really new way you hold your head It's like insanity is hanging on a thread The flesh feels cold underneath your nails And the look you give me never fails, never fails I love the way you hurt me I love that you don't care My love is dark and twisted And I scream when you're not there It's the interesting way you pierce my brain It's within my urges but never the same I love it when you help me, you crack a smile The best is when you make it last a while, last a while I love the way you hurt me I love that you don't care My love is dark and twisted And I scream when you're not there Can't seem to get away This ghost I'll never find It haunts me till this day I can't get back my time  It's the really new way you hold your head It's like insanity is hanging on a thread The flesh feels cold underneath your nails And the look you give me never fails, never fails I love the way you hurt me I love that you don't care My love is dark and twisted And I scream when you're not there It's the interesting way you pierce my brain It's within my urges but never the same I love it when you help me, you crack a smile The best is when you make it last a while, last a while I love the way you hurt me I love that you don't care My love is dark and twisted And I scream when you're not there Can't seem to get away This ghost I'll never find It haunts me till this day I can't get back my time I love the way you hurt me I love that you don't care My love is dark and twisted And I scream when you're not there",The Serenity of Suffering
Throw Me Away,"Flesh wound, flesh wound With medication, it will fade Should I assume That someone hears me when I pray? Love, full of hate Don't you love How I break? Don't let them throw me away! Keep me and I'll be okay! Skipping a beat, but it plays! Don't let them throw me away! Don't let them throw me away! Screwed up, used up Crumble lying on the floor Fucked up, shut up All you did back then was score  Flesh wound, flesh wound With medication, it will fade Should I assume That someone hears me when I pray? Love, full of hate Don't you love How I break? Don't let them throw me away! Keep me and I'll be okay! Skipping a beat, but it plays! Don't let them throw me away! Don't let them throw me away! Screwed up, used up Crumble lying on the floor Fucked up, shut up All you did back then was score I'm feeling weak Missing parts Incomplete! Don't let them throw me away! Keep me and I'll be okay! Skipping a beat, but it plays! Don't let them throw me away! Don't let them throw me away! Hold me up into the light Fix the cracks and fix them right Keep the pieces in the drawer Keep them there forever more Wake a million thoughts someday Recycle this shit in someway And all that I have to say Don't let them throw me away Don't let them throw me away! Keep me and I'll be okay! Skipping a beat, but it plays! Don't let them throw me away! Don't let them throw me away!",See You On The Other Side
Lost in the Grandeur,"Hey you, what are you doing? Laugh as you tear out my heart The pain is so stimulating I've been too numb from the start Why can't I defend? Tear all these demons apart Who knows if it's really better? I threw it out for some parts Help me find my way I know this all sounds so cliché But I've done everything you say I'm so fed up with who I portray So lost in the grandeur Sad things fly all around me Welcoming sight from the past Somehow they make me feel something Even if it doesn't last So I do anything To be able to get away Bad things always flock to mе It seems to be that way  Hey you, what are you doing? Laugh as you tear out my heart The pain is so stimulating I've been too numb from the start Why can't I defend? Tear all these demons apart Who knows if it's really better? I threw it out for some parts Help me find my way I know this all sounds so cliché But I've done everything you say I'm so fed up with who I portray So lost in the grandeur Sad things fly all around me Welcoming sight from the past Somehow they make me feel something Even if it doesn't last So I do anything To be able to get away Bad things always flock to mе It seems to be that way Hеlp me find my way I know this all sounds so cliché But I've done everything you say I'm so fed up with who I portray So lost in the grandeur Oh no, there's that sound It's constant and profound What's it gonna do today? What kinda joy will it steal away? Oh no, then I'm going down And I'm losing my grip Always caught up in it That the truth is all lies It builds up inside I fucking hate this every day Something painful, something grave Can't go on living this way I won't let you take this Keep on trying, motherfucker Help me find my way I know this all sounds so cliché But I've done everything you say I'm so fed up with who I portray So lost in the grandeur So lost in the grandeur So lost in the grandeur",Requiem
